name,kind,lat,lon,province/city
Luxe  Hotel,hotel,17.4816094,106.6250713,Quảng Bình
Clover Home Hotel,hotel,17.4747006,106.622921,Quảng Bình
SAMI Coffee Hotel,hotel,17.478093,106.6218846,Quảng Bình
Phong Nha Coco Riverside Homestay,hotel,17.6099597,106.3024026,Quảng Bình
Nút giao Ngã 5 Quán Hàu,attraction,17.4014289,106.6380238,Quảng Bình
Blue House Tan Ha,guest_house,17.1999457,106.8298878,Quảng Bình
Tien's cozy homestay,guest_house,17.6116771,106.3167864,Quảng Bình
Tall tree,tree,17.5424179,106.2397686,Quảng Bình
Big tree,tree,17.5346477,106.2557361,Quảng Bình
Chien thang song gianh,memorial,17.7166718,106.4446872,Quảng Bình
Family Homestay,hotel,17.6046875,106.2991875,Quảng Bình
Phong Nha Ecolodge Homestay By HOFs,hotel,17.604451,106.300106,Quảng Bình
Oxalis Hang Va Camp,camp_site,17.4894656,106.2848028,Quảng Bình
Sea view,viewpoint,17.4636182,106.3817703,Quảng Bình
Nhà văn hóa Thôn tây,,17.7133896,106.3714611,Quảng Bình
Balanha,motel,17.4773077,106.6310973,Quảng Bình
Thien Thanh Hotel,hotel,17.610014,106.3101604,Quảng Bình
Chứng tích nhà thờ Tam tòa,attraction,17.4749775,106.6233497,Quảng Bình
"visitor center for Phong Nha Cave, Tien Son Cave and Dark Cave",attraction,17.6120996,106.3060121,Quảng Bình
Bao Ninh Beach,attraction,17.4656697,106.6446403,Quảng Bình
Quảng Bình Quan,attraction,17.4633367,106.6240529,Quảng Bình
Khách sạn Tân Bình,hotel,17.4633143,106.6229341,Quảng Bình
Radisson Hotel Quảng Trị,hotel,17.4660188,106.6260473,Quảng Bình
Applebee's Homestay,guest_house,17.6079667,106.3015434,Quảng Bình
Nhà nghỉ dưỡng Hải Đăng,hotel,17.4678499,106.6405763,Quảng Bình
Gold Coast Hotel Resort & Spa,hotel,17.4668968,106.6411864,Quảng Bình
Duy Tân Hotel & Resort Quảng Trị,hotel,17.462246,106.6437394,Quảng Bình
Khu nghỉ mát bãi biển Bảo Ninh,hotel,17.4612287,106.6451474,Quảng Bình
Fusion Resort Quang Tri,hotel,17.4600043,106.6460406,Quảng Bình
Nhà hàng Amor Palace,hotel,17.4771946,106.6043132,Quảng Bình
Khách sạn Việt Lào,hotel,17.5063936,106.6154973,Quảng Bình
Quảng trường Hồ chí Minh,attraction,17.4679438,106.6216316,Quảng Bình
Bao Ninh Beach Resort,hotel,17.4608871,106.6446339,Quảng Bình
