name,kind,lat,lon,province/city
Khách Sạn Boutique,hotel,21.0379401,105.8518102,Hà Nội
Khách Sạn Blue Star,hotel,21.0336734,105.8474742,Hà Nội
Khách Sạn Hanoi Cozy 2,hotel,21.0327548,105.8537342,Hà Nội
Sheraton Hanoi,hotel,21.0597444,105.8320123,Hà Nội
Khách Sạn Thaison I,hotel,21.0305739,105.8564189,Hà Nội
Khách Sạn Hà Nội Emerald,hotel,21.0339948,105.8535544,Hà Nội
Sunshine 2,hotel,21.0343564,105.8533288,Hà Nội
Khách Sạn Especen,hotel,21.0333592,105.8537508,Hà Nội
Khách Sạn Bamboo,hotel,21.0331185,105.8537687,Hà Nội
Khách Sạn Golden Wings,hotel,21.0340122,105.8532958,Hà Nội
Khách Sạn Friendly,hotel,21.0347247,105.8533643,Hà Nội
Khách Sạn Hoà Bình Palace,hotel,21.0330675,105.8539845,Hà Nội
Khách Sạn Allura,hotel,21.0338753,105.8536358,Hà Nội
Khách Sạn Golden Wings II,hotel,21.0341376,105.8535652,Hà Nội
Salute Hotel,hotel,21.0319667,105.8540409,Hà Nội
Phú Long Hotel,hotel,21.0323049,105.8534066,Hà Nội
Khách Sạn Hanoi A1,hotel,21.0320927,105.8536784,Hà Nội
Khách Sạn Indochina,hotel,21.0315137,105.8547329,Hà Nội
Khách Sạn Asia Palace,hotel,21.0317015,105.8556478,Hà Nội
Khách Sạn Gia Bảo Grand,hotel,21.0314953,105.8549091,Hà Nội
Khách Sạn Hanoi Elegance,hotel,21.0314996,105.854844,Hà Nội
Khách Sạn Hanoi Happy,hotel,21.0314439,105.8552823,Hà Nội
Khách Sạn Boss,hotel,21.0314436,105.8552453,Hà Nội
Khách Sạn Astoria,hotel,21.0292242,105.8454081,Hà Nội
Trang An,hotel,21.0321562,105.85026,Hà Nội
Khách Sạn Nam Hải,hotel,21.0312401,105.8472175,Hà Nội
PAN,hotel,21.0286011,105.8437682,Hà Nội
Khách Sạn Hanoi Stars,hotel,21.0337024,105.8542552,Hà Nội
Khách Sạn Bảo Anh,hotel,21.0294692,105.8479138,Hà Nội
Rose Hotel,hotel,21.0311286,105.8472821,Hà Nội
Trung Nam Hải,hotel,21.029546,105.8479124,Hà Nội
Nhà Khách Hanoi Brother Inn,hostel,21.0336722,105.8474267,Hà Nội
Khách Sạn Hanoi Backpackers Palace,hotel,21.0336742,105.8475063,Hà Nội
Rainbow Homestay,guest_house,21.0268165,105.8575022,Hà Nội
Khách Sạn Hanoi Spark,hotel,21.0323652,105.8547395,Hà Nội
Khách Sạn Cozy,hotel,21.0324325,105.8537078,Hà Nội
Khách Sạn Asia Palace,hotel,21.0324639,105.8544065,Hà Nội
Khách Sạn Hanoi Orchid,hotel,21.0327409,105.8539635,Hà Nội
Khách Sạn Hanoi Elegance,hotel,21.0319655,105.848102,Hà Nội
Khách Sạn Charming,hotel,21.0319242,105.8479383,Hà Nội
Khách Sạn Hanoi Eclipse,hotel,21.0328812,105.8495832,Hà Nội
Nguyen Art Gallery,gallery,21.0285199,105.8364926,Hà Nội
Vanmieu Hotel,hotel,21.0266394,105.8370864,Hà Nội
Khách Sạn Hanoi Deluxe,hotel,21.0346071,105.8472826,Hà Nội
Khách Sạn Heart,hotel,21.0315071,105.8505621,Hà Nội
Khách Sạn Golden Sunrise,hotel,21.0314747,105.850246,Hà Nội
Khách Sạn Morning Star,hotel,21.0317073,105.8507545,Hà Nội
Win Hotel,hotel,21.0314317,105.8502016,Hà Nội
Royal Hotel,hotel,21.0295866,105.8349908,Hà Nội
