name,kind,lat,lon
R40,guest_house,10.9454082,108.1876009
R41,guest_house,10.9453136,108.1874622
R42,guest_house,10.9452122,108.1873327
R43,guest_house,10.9451167,108.1871912
R44,guest_house,10.9450107,108.1870593
R45,guest_house,10.9449148,108.186924
R46,guest_house,10.9448172,108.1867907
R47,guest_house,10.9447101,108.1866548
R48,guest_house,10.9445954,108.1865344
R49,guest_house,10.9444775,108.1864005
R50,guest_house,10.9443517,108.1862912
R51,guest_house,10.9442245,108.1861939
R52,guest_house,10.9440959,108.1860817
R53,guest_house,10.9439592,108.1859744
R54,guest_house,10.9438266,108.1858636
R55,guest_house,10.9437166,108.1857581
R56,guest_house,10.943588,108.185642
R1,guest_house,10.9441284,108.185308
R2,guest_house,10.9442647,108.18542
R3,guest_house,10.94439,108.1855318
R4,guest_house,10.9445186,108.1856259
R5,guest_house,10.9446613,108.1857459
R6,guest_house,10.9447923,108.1858443
R7,guest_house,10.9449292,108.1859551
R8,guest_house,10.9450599,108.1860929
R9,guest_house,10.9451593,108.1862246
R10,guest_house,10.9452663,108.1863507
R11,guest_house,10.9453724,108.1864888
R12,guest_house,10.9454754,108.1866273
R13,guest_house,10.9455775,108.1867596
R14,guest_house,10.9456707,108.1868923
R15,guest_house,10.9457755,108.187032
R16,guest_house,10.9458736,108.1871609
R17,guest_house,10.9459789,108.1873121
R18,guest_house,10.9460416,108.1874888
PC54,guest_house,10.9485346,108.1872561
PC49,guest_house,10.9485353,108.1874199
PC50,guest_house,10.94853,108.1875965
PC53,guest_house,10.94853,108.187765
PC55,guest_house,10.9485439,108.1879344
PC21,guest_house,10.9485453,108.1881015
PC20,guest_house,10.9485226,108.187085
PC19,guest_house,10.9485088,108.1869098
PC18,guest_house,10.9484745,108.186728
PC17,guest_house,10.948423,108.1865583
PC16,guest_house,10.9483883,108.1864097
PC15,guest_house,10.9483438,108.1862482
PC14,guest_house,10.9482973,108.1860765
PC13,guest_house,10.948258,108.1859168
PC12,guest_house,10.9482181,108.1857452
PC11,guest_house,10.9481609,108.1855752
PC10,guest_house,10.9481098,108.1854073
PC9,guest_house,10.9480411,108.1852658
PC8,guest_house,10.9479709,108.1851061
PC7,guest_house,10.9479099,108.1849503
PC6,guest_house,10.9478473,108.1847868
PC5,guest_house,10.947781,108.1846306
PC4,guest_house,10.9477127,108.1844837
PC3,guest_house,10.9476512,108.1843298
PC2,guest_house,10.9475937,108.1841747
PC1,guest_house,10.9475243,108.1840148
PC47,guest_house,10.9470241,108.1846292
PC46,guest_house,10.9470821,108.1847945
PC45,guest_house,10.947144,108.1849401
PC44,guest_house,10.9472047,108.1850929
PC43,guest_house,10.9472697,108.1852531
PC42,guest_house,10.9473437,108.185398
PC41,guest_house,10.9474012,108.1855446
PC40,guest_house,10.9474701,108.1857
